All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     final.contigs
# contigs (>= 1000 bp)       0            
# contigs (>= 5000 bp)       0            
# contigs (>= 10000 bp)      0            
# contigs (>= 25000 bp)      0            
# contigs (>= 50000 bp)      0            
Total length (>= 1000 bp)    0            
Total length (>= 5000 bp)    0            
Total length (>= 10000 bp)   0            
Total length (>= 25000 bp)   0            
Total length (>= 50000 bp)   0            
# contigs                    1            
Largest contig               778          
Total length                 778          
Reference length             2763181      
GC (%)                       48.33        
Reference GC (%)             51.32        
N50                          778          
NG50                         -            
N90                          778          
NG90                         -            
auN                          778.0        
auNG                         0.2          
L50                          1            
LG50                         -            
L90                          1            
LG90                         -            
# misassemblies              0            
# misassembled contigs       0            
Misassembled contigs length  0            
# local misassemblies        0            
# scaffold gap ext. mis.     0            
# scaffold gap loc. mis.     0            
# unaligned mis. contigs     0            
# unaligned contigs          0 + 0 part   
Unaligned length             0            
Genome fraction (%)          0.027        
Duplication ratio            1.000        
# N's per 100 kbp            0.00         
# mismatches per 100 kbp     2702.70      
# indels per 100 kbp         0.00         
Largest alignment            740          
Total aligned length         740          
NA50                         740          
NGA50                        -            
NA90                         740          
NGA90                        -            
auNA                         703.9        
auNGA                        0.2          
LA50                         1            
LGA50                        -            
LA90                         1            
LGA90                        -            
