Assembly	final.contigs
# contigs (>= 0 bp)	579
# contigs (>= 1000 bp)	10
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	256299
Total length (>= 1000 bp)	14063
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	133
Largest contig	2078
Total length	89926
Reference length	4503108
N50	624
N90	519
auN	765.5
L50	53
L90	116
# misassemblies	1
# misassembled contigs	1
Misassembled contigs length	570
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	120 + 0 part
Unaligned length	81997
Genome fraction (%)	0.252
Duplication ratio	1.006
# N's per 100 kbp	0.00
# mismatches per 100 kbp	2268.41
# indels per 100 kbp	139.40
Largest alignment	742
Total aligned length	7891
NA50	-
NA90	-
auNA	52.9
LA50	-
LA90	-
